new_var,confidence_lower
mul_user_content_ema_answ,43.71139603417432
mul_user_content_he_mean_answ,41.77308854170248
content_he_mean_answered_correctly,37.83571350428976
content_id,36.722581367165844
rel_content_part_mean_answ,36.38860798498489
rel_content_he_part_mean_answ,34.9850198723924
user_ema_answered_correctly,27.768175170942808
user_he_ema_answered_correctly,27.278520300170594
content_user_count_user_id,24.69376793735996
content_sum_answered_correctly,24.214110850132407
rel_user_content_he_ema_answ,20.505592125968448
rel_user_content_ema_answ,20.4817284509895
user_sum_answered_correctly,18.310083970173284
content_he_cl_count_answered_correctly,17.94062857339545
content_he_part_mean_answered_correctly,17.9200126200842
content_user_he_part_count_user_id,17.90745168014616
rel_user_he_ema_answ,16.691363858932707
rel_user_he_mean_answ,16.534305599681257
trend_user_he_mean_answ,15.425874995854105
content_cl_mean_answered_correctly,15.311346672847304
content_cl_count_answered_correctly,15.310990526209785
trend_user_mean_answ,15.247253454996068
kmean_cluster,15.213913347042718
rel_user_he_mean_pqet,15.18247572274838
rel_user_he_ema_pqet,14.116113214448813
lag_answ_and_part_bool,13.484711536234428
lag_answ_corr,13.066310133035538
lag_expl_and_part_bool,13.025602085831457
prior_question_had_explanation,12.989273006059785
abs_chng_timestamp,12.050747824338458
rel_ema_chng_timestamp,11.677862918472373
mean_chng_timestamp,11.605871570719595
timestamp,11.272327928761586
rel_chng_timestamp,11.013602832585924
rel_mean_chng_timestamp,10.57147268305927
trend_user_mean_pqet,9.002261728793393
user_he_sum_prior_question_elapsed_time,8.700899865971312
prior_question_elapsed_time,8.612997711859816
lag_answ_and_clu_bool,8.440712627009873
trend_user_he_mean_pqet,8.144974610739242
user_ucount_kmean_cluster,7.754854015663315
lect_user,7.6064076524825515
lag_expl_and_clu_bool,7.380374185702943
rel_lect_part,5.867527920742544
lect_user_part,5.759615019275067
content_part_sum_answered_correctly,5.400628379609906
part,5.304498820204917
content_part_mean_answered_correctly,5.2956610171796425
user_ema_prior_question_elapsed_time,4.818564234220157
user_he_ema_prior_question_elapsed_time,4.75749015519491
user_mean_prior_question_elapsed_time,4.321163276974849
lect_user_kmean_cluster,4.0309631363258935
rel_lect_clu,3.923465849967744
user_ucount_part,3.1482717176564368
lag_part_bool,2.4427997483356334
user_he_ucount_kmean_cluster,2.39969278058183
