new_var,confidence_lower
mul_user_content_ema_answ,47.65096508508415
content_he_mean_answered_correctly,43.52543839207552
rel_content_part_mean_answ,41.374253660052005
rel_content_he_cl_mean_answ,38.84775495685871
rel_user_content_he_mean_answ,27.70036397594444
user_he_ema_answered_correctly,24.621688874073786
user_ema_answered_correctly,24.429527675274162
content_user_count_user_id,19.39760487005
content_user_he_count_user_id,17.67058097014931
content_he_sum_answered_correctly,16.991456890637302
content_he_cl_sum_answered_correctly,16.344426774211193
content_he_cl_mean_answered_correctly,16.2729674788052
content_user_he_part_count_user_id,15.386713499765234
content_he_part_mean_answered_correctly,15.300891666802773
user_sum_answered_correctly,13.322967350431949
trend_user_he_mean_answ,12.788483674379634
trend_user_mean_answ,12.754235161577766
content_cl_count_answered_correctly,11.656552325258858
kmean_cluster,11.656493222250642
content_cl_mean_answered_correctly,11.640259351025483
user_ucount_kmean_cluster,11.466108107552841
user_sum_prior_question_elapsed_time,11.372948623888226
part,10.8914020540366
content_part_sum_answered_correctly,10.88978656692694
content_part_mean_answered_correctly,10.843627860102155
abs_chng_timestamp,10.622663875129268
rel_ema_chng_timestamp,10.502493903419284
rel_user_he_mean_answ,10.171353321874776
lag_answ_corr,10.108451674556074
user_ucount_part,10.081594069732967
user_he_ucount_kmean_cluster,10.053595744555713
lag_answ_and_part_bool,9.922053267090593
mean_chng_timestamp,9.056954320733787
rel_user_he_mean_pqet,8.89850708511477
ema_chng_timestamp,8.427412643424281
rel_chng_timestamp,8.383546686086385
trend_user_mean_pqet,8.042938755397786
user_he_ucount_part,7.8680536249508215
timestamp,7.385027077486273
lect_user,6.860162275769023
rel_lect_part,6.47240498220083
prior_question_had_explanation,6.267074572418374
rel_mean_chng_timestamp,6.107610772615413
lag_answ_and_clu_bool,6.06539850555694
rel_user_he_ema_pqet,6.003668523604678
content_id,5.809923777004732
lag_expl_and_part_bool,5.807336580012291
prior_question_elapsed_time,5.290929288505741
lag_expl_and_part_bool_not_corr,5.142438427276597
lect_user_part,4.976759432452882
lag_expl_and_clu_bool_not_corr,4.387852422118521
user_mean_prior_question_elapsed_time,4.00368787893628
rel_lect_clu,3.765090847240926
user_he_ema_prior_question_elapsed_time,2.563629889402974
lect_user_kmean_cluster,2.436400314770659
lag_expl_and_clu_bool,2.2450788657220047
